pol	phi
0.3	172.18
0.3	-114.48
0.3	107.343
0.3	163.88
0.3	-152.819
0.3	49.4853
0.3	131.392
0.3	173.268
0.3	60.4842
0.3	-78.6413
0.3	-43.9348
0.3	52.3239
0.3	108.224
0.3	118.053
0.3	-5.30942
0.3	-33.372
0.3	140.422
0.3	-24.3028
0.3	99.5748
0.3	81.3003
0.3	134.105
0.3	126.74
0.3	116.687
0.3	90.3845
0.3	-92.6458
0.3	43.0361
0.3	148.357
0.3	-60.6115
0.3	83.4986
0.3	23.6486
0.3	-32.2856
0.3	-26.5662
0.3	122.097
0.3	-161.539
0.3	-13.7363
0.3	-68.0262
0.3	121.926
0.3	116.903
0.3	-143.019
0.3	-39.4352
0.3	27.9586
0.3	104.1
0.3	21.0116
0.3	-99.3196
0.3	-112.174
0.3	-118.638
0.3	111.738
0.3	-168.663
0.3	55.2347
0.3	163.509
0.3	92.5394
0.3	154.098
0.3	-144.639
0.3	141.397
0.3	103.688
0.3	-51.004
0.3	-56.4249
0.3	36.7445
0.3	-172.154
0.3	-118.681
0.3	173.767
0.3	-159.121
0.3	13.773
0.3	-171.509
0.3	-174.969
0.3	-160.302
0.3	-65.8022
0.3	-81.7608
0.3	75.4489
0.3	61.8629
0.3	-47.9064
0.3	-34.8207
0.3	-21.4279
0.3	138.279
0.3	-90.7992
0.3	-128.688
0.3	160.971
0.3	-131.281
0.3	-11.6534
0.3	139.29
0.3	-113.569
0.3	129.041
0.3	-178.638
0.3	147.66
0.3	148.119
0.3	-53.8623
0.3	-27.1112
0.3	-89.9613
0.3	-29.0832
0.3	78.4074
0.3	-87.2742
0.3	5.23477
0.3	-64.0002
0.3	-38.288
0.3	-128.643
0.3	119.072
0.3	-114.099
0.3	-59.2079
0.3	-49.9467
0.3	-13.5864
0.3	100.655
0.3	59.9248
0.3	131.726
0.3	99.1256
0.3	158.15
0.3	-178.441
0.3	42.3241
0.3	-28.4015
0.3	2.7962
0.3	-25.9834
0.3	-76.7247
0.3	80.1026
0.3	-12.3686
0.3	140.876
0.3	-134.029
0.3	-44.1211
0.3	-38.4257
0.3	-121.652
0.3	89.7809
0.3	-173.248
0.3	126.374
0.3	-107.63
0.3	25.9084
0.3	-87.5838
0.3	-111.199
0.3	141.198
0.3	118.82
0.3	-93.1439
0.3	-23.5566
0.3	-112.462
0.3	44.6694
0.3	67.0172
0.3	126.657
0.3	-159.086
0.3	30.263
0.3	-66.7628
0.3	130.393
0.3	-141.12
0.3	47.3912
0.3	41.9265
0.3	-26.6698
0.3	-92.8932
0.3	-37.3385
0.3	-131.247
0.3	-137.113
0.3	-137.275
0.3	-43.8835
0.3	73.5182
0.3	-4.91008
0.3	140.976
0.3	82.6857
0.3	-117.86
0.3	128.072
0.3	4.4975
0.3	-45.5696
0.3	9.86445
0.3	65.056
0.3	-148.406
0.3	151.245
0.3	-160.927
0.3	-43.3715
0.3	8.37474
0.3	110.745
0.3	-59.5359
0.3	111.823
0.3	-143.378
0.3	176.291
0.3	-165.28
0.3	108.31
0.3	-38.3176
0.3	48.0471
0.3	154.909
0.3	-104.977
0.3	-166.525
0.3	-110.466
0.3	80.111
0.3	-40.7307
0.3	51.3782
0.3	-131.335
0.3	-29.6289
0.3	179.607
0.3	-166.534
0.3	127.098
0.3	158.441
0.3	70.7839
0.3	9.10645
0.3	-50.4482
0.3	-87.6928
0.3	-173.369
0.3	80.8504
0.3	-90.8249
0.3	130.051
0.3	129.171
0.3	-27.4444
0.3	53.6731
0.3	-25.7379
0.3	-124.286
0.3	-6.27379
0.3	-3.98816
0.3	-95.9607
0.3	-139.127
0.3	94.7946
0.3	-113.889
0.3	71.8072
0.3	-95.4556
0.3	-49.9316
0.3	-6.42513
0.3	-113.247
0.3	-161.322
0.3	-133.753
0.3	-78.3645
0.3	109.218
0.3	124.861
0.3	-110.697
0.3	-99.212
0.3	-9.64022
0.3	-126.862
0.3	-64.4251
0.3	-97.479
0.3	-49.2114
0.3	-104.931
0.3	139.903
0.3	-59.8
0.3	44.0837
0.3	-27.8842
0.3	164.897
0.3	-115.609
0.3	-41.9547
0.3	-83.996
0.3	-51.1
0.3	153.771
0.3	-71.6073
0.3	-96.8647
0.3	47.3849
0.3	48.5154
0.3	163.901
0.3	-115.504
0.3	-137.892
0.3	177.909
0.3	-56.1225
0.3	6.93624
0.3	97.0503
0.3	-84.9038
0.3	-18.4764
0.3	-105.571
0.3	164.775
0.3	-140.088
0.3	-91.9335
0.3	-85.928
0.3	-109.8
0.3	156.328
0.3	13.0242
0.3	83.1613
0.3	162.013
0.3	-47.2362
0.3	-106.791
0.3	123.879
0.3	-50.8347
0.3	-140.991
0.3	-60.4245
0.3	-58.2581
0.3	-149.772
0.3	138.36
0.3	-99.8524
0.3	81.2676
0.3	-62.8169
0.3	100.007
0.3	-71.4422
0.3	-79.2672
0.3	-52.7836
0.3	80.5501
0.3	-69.6312
0.3	51.2819
0.3	-156.545
0.3	114.528
0.3	-116.715
0.3	-92.2649
0.3	44.3134
0.3	-31.7861
0.3	-67.9477
0.3	147.725
0.3	-117.031
0.3	-4.3961
0.3	-87.27
0.3	100.477
0.3	160.22
0.3	-7.97643
0.3	-115.766
0.3	176.753
0.3	-83.8089
0.3	150.195
0.3	-22.6168
0.3	-132.233
0.3	-104.37
0.3	-45.3333
0.3	108.449
0.3	-52.597
0.3	-100.871
0.3	42.614
0.3	-140.273
0.3	167.262
0.3	6.43506
0.3	-38.032
0.3	-94.2849
0.3	152.262
0.3	-72.2614
0.3	-32.399
0.3	118.81
0.3	123.447
0.3	61.786
0.3	-155.595
0.3	-5.30135
0.3	62.0248
0.3	-1.75503
0.3	136.617
0.3	26.2246
0.3	-98.7983
0.3	-100.951
0.3	154.891
0.3	113.672
0.3	-161.514
0.3	-90.1874
0.3	162.63
0.3	-115.094
0.3	-142.247
0.3	-71.3271
0.3	-124.394
0.3	-5.32634
0.3	144.709
0.3	178.199
0.3	31.7587
0.3	-118.293
0.3	-170.33
0.3	162.738
0.3	6.82927
0.3	87.5353
0.3	177.658
0.3	148.593
0.3	170.746
0.3	-40.8209
0.3	66.4947
0.3	171.809
0.3	147.149
0.3	-56.4591
0.3	-36.4999
0.3	-159.088
0.3	-35.0236
0.3	9.52117
0.3	109.758
0.3	-34.3364
0.3	-161.835
0.3	156.149
0.3	69.86
0.3	-55.9717
0.3	143.712
0.3	-72.733
0.3	134.381
0.3	-146.473
0.3	-38.1188
0.3	122.912
0.3	-8.10084
0.3	80.2098
0.3	11.1932
0.3	15.0095
0.3	-174.795
0.3	121.019
0.3	123.748
0.3	26.1267
0.3	118.095
0.3	-31.8966
0.3	94.0408
0.3	-89.6409
0.3	9.27428
0.3	-44.2732
0.3	2.33804
0.3	-1.38771
0.3	136.088
0.3	-169.245
0.3	102.904
0.3	81.8115
0.3	-103.223
0.3	161.5
0.3	-50.5688
0.3	-25.9207
0.3	-92.6334
0.3	-103.55
0.3	-36.4837
0.3	58.4346
0.3	-85.3795
0.3	169.46
0.3	-170.848
0.3	18.0124
0.3	-23.6855
0.3	122.444
0.3	66.2405
0.3	118.778
0.3	35.5965
0.3	64.0413
0.3	4.53175
0.3	-138.204
0.3	-129.041
0.3	160.442
0.3	-24.0283
0.3	132.993
0.3	113.55
0.3	169.689
0.3	-119.03
0.3	-93.2659
0.3	-34.3819
0.3	-173.381
0.3	-17.7414
0.3	-79.964
0.3	14.3679
0.3	65.0501
0.3	-124.067
0.3	-39.955
0.3	-27.1511
0.3	77.3103
0.3	-0.417683
0.3	-10.7776
0.3	-28.4999
0.3	-138.106
0.3	39.9681
0.3	-50.0296
0.3	-171.089
0.3	130.77
0.3	-164.5
0.3	22.6057
0.3	-122.338
0.3	-55.4941
0.3	40.0583
0.3	-135.501
0.3	175.146
0.3	-28.7712
0.3	137.196
0.3	-142.412
0.3	144.53
0.3	-157.892
0.3	-15.8034
0.3	-114.844
0.3	-38.3439
0.3	-54.5347
0.3	97.7489
0.3	44.8032
0.3	137.486
0.3	-85.7736
0.3	152.207
0.3	149.115
0.3	-23.1569
0.3	92.0395
0.3	101.872
0.3	82.3006
0.3	113.522
0.3	34.643
0.3	150.264
0.3	169.85
0.3	178.547
0.3	139.807
0.3	-81.0735
0.3	-64.71
0.3	-66.9727
0.3	154.424
0.3	18.5461
0.3	-153.085
0.3	-97.5651
0.3	-164.852
0.3	53.3401
0.3	-74.1332
0.3	177.966
0.3	-119.931
0.3	55.7711
0.3	87.8519
0.3	-115.765
0.3	34.9152
0.3	24.5547
0.3	-83.4082
0.25	68.2048
0.25	10.1582
0.25	144.808
0.25	-133.55
0.25	-125.476
0.25	-66.0158
0.25	56.7698
0.25	-40.6666
0.25	138.126
0.25	-104.875
0.25	-40.4601
0.25	4.38347
0.25	121.255
0.25	-38.1182
0.25	175.207
0.25	58.9531
0.25	117.584
0.25	-164.405
0.25	148.666
0.25	176.698
0.25	-81.1273
0.25	153.121
0.25	-72.7976
0.25	79.3206
0.25	62.9032
0.25	25.9015
0.25	-49.1816
0.25	-30.1648
0.25	9.85931
0.25	-165.843
0.25	46.6192
0.25	151.788
0.25	42.8977
0.25	-110.752
0.25	15.4817
0.25	87.0396
0.25	77.9804
0.25	-10.875
0.25	38.9432
0.25	169.659
0.25	53.8285
0.25	57.0901
0.25	39.5368
0.25	71.307
0.25	-47.6267
0.25	-43.8394
0.25	54.2714
0.25	-176.669
0.25	91.0961
0.25	46.2494
0.25	56.083
0.25	12.4708
0.25	-92.8823
0.25	124.314
0.25	152.168
0.25	112.478
0.25	-121.455
0.25	87.2782
0.25	-154.152
0.25	164.832
0.25	24.6356
0.25	-38.4894
0.25	-114.42
0.25	34.7458
0.25	-153.064
0.25	-1.3733
0.25	-138.32
0.25	158.083
0.25	170.124
0.25	-152.46
0.25	-139.704
0.25	59.5904
0.25	-153.621
0.25	-14.9134
0.25	177.26
0.25	-109.853
0.25	-9.59564
0.25	22.2641
0.25	177.007
0.25	-13.112
0.25	-65.0356
0.25	100.689
0.25	86.3572
0.25	-102.733
0.25	61.0672
0.25	145.702
0.25	-177.29
0.25	19.3512
0.25	-157.704
0.25	-79.9898
0.25	61.538
0.25	80.9598
0.25	151.822
0.25	18.4554
0.25	83.1098
0.25	127.836
0.25	95.3235
0.25	120.604
0.25	109.018
0.25	-20.7634
0.25	159.262
0.25	-21.6738
0.25	119.607
0.25	158.035
0.25	-81.2344
0.25	103.405
0.25	-135.874
0.25	68.5403
0.25	74.0371
0.25	122.038
0.25	130.771
0.25	-156.167
0.25	-48.2843
0.25	-175.35
0.25	-70.3569
0.25	168.24
0.25	40.57
0.25	170.156
0.25	29.8139
0.25	68.1307
0.25	-94.4732
0.25	-73.2396
0.25	-148.441
0.25	133.881
0.25	-128.781
0.25	-146.554
0.25	144.439
0.25	-89.6066
0.25	148.243
0.25	25.9451
0.25	78.6266
0.25	-69.3692
0.25	158.963
0.25	-141.288
0.25	-95.6226
0.25	30.0207
0.25	92.0736
0.25	118.387
0.25	110.158
0.25	-47.5494
0.25	161.082
0.25	-68.528
0.25	91.8336
0.25	-101.411
0.25	-174.584
0.25	-76.345
0.25	-170.521
0.25	112.37
0.25	167.52
0.25	7.56743
0.25	123.256
0.25	114.389
0.25	88.9027
0.25	-55.6799
0.25	-34.3203
0.25	-179.222
0.25	-136.729
0.25	9.60524
0.25	-3.05843
0.25	-93.6529
0.25	136.294
0.25	90.6073
0.25	131.04
0.25	-0.857364
0.25	91.2021
0.25	3.58833
0.25	96.0152
0.25	-9.67997
0.25	9.5066
0.25	-128.636
0.25	-126.619
0.25	-125.033
0.25	-150.226
0.25	-166.138
0.25	-89.2637
0.25	-77.2643
0.25	-101.448
0.25	21.0192
0.25	41.2521
0.25	12.5047
0.25	34.3755
0.25	-131.472
0.25	-74.4107
0.25	48.029
0.25	-107.408
0.25	-29.4859
0.25	109.838
0.25	3.68735
0.25	-135.801
0.25	53.1637
0.25	-167.995
0.25	80.3121
0.25	36.0777
0.25	-28.7624
0.25	-79.7908
0.25	-120.005
0.25	24.4342
0.25	5.07434
0.25	171.498
0.25	124.271
0.25	-96.58
0.25	103.811
0.25	-36.6764
0.25	-30.5428
0.25	-162.276
0.25	42.964
0.25	64.6245
0.25	36.9732
0.25	116.019
0.25	12.3473
0.25	45.2754
0.25	72.1099
0.25	-175.259
0.25	-17.0201
0.25	-139.564
0.25	20.5492
0.25	-115.021
0.25	152.499
0.25	-24.962
0.25	-166.252
0.25	1.33711
0.25	171.428
0.25	179.03
0.25	134.937
0.25	-62.1109
0.25	-107.518
0.25	124.171
0.25	37.1688
0.25	-66.3541
0.25	-85.6434
0.25	-51.4021
0.25	64.9747
0.25	130.361
0.25	-38.936
0.25	33.843
0.25	-121.5
0.25	-33.9989
0.25	-116.871
0.25	-166.895
0.25	145.22
0.25	-127.326
0.25	-82.8987
0.25	51.4713
0.25	85.4311
0.25	29.6573
0.25	-113.304
0.25	-116.913
0.25	-157.763
0.25	18.9798
0.25	169.703
0.25	-144.465
0.25	-131.361
0.25	-105.475
0.25	34.9421
0.25	-34.7984
0.25	34.3293
0.25	96.0834
0.25	-72.9947
0.25	35.6369
0.25	63.0827
0.25	162.574
0.25	-86.4643
0.25	-145.234
0.25	-11.6236
0.25	-32.1239
0.25	64.8829
0.25	38.3588
0.25	-36.124
0.25	164.72
0.25	-93.103
0.25	137.504
0.25	123.81
0.25	-99.2752
0.25	-101.787
0.25	92.2734
0.25	146.826
0.25	79.6738
0.25	-111.232
0.25	120.579
0.25	39.558
0.25	-99.0122
0.25	-151.51
0.25	-68.7801
0.25	-74.8789
0.25	48.3092
0.25	-107.432
0.25	28.8216
0.25	14.1686
0.25	-110.158
0.25	-56.0657
0.25	-94.2675
0.25	-77.4845
0.25	45.7276
0.25	-93.3208
0.25	-95.6587
0.25	128.106
0.25	37.9199
0.25	140.648
0.25	81.3802
0.25	34.7533
0.25	-101.683
0.25	92.9909
0.25	-165.865
0.25	-111.546
0.25	-75.8744
0.25	52.442
0.25	-86.1493
0.25	-127.485
0.25	129.549
0.25	66.973
0.25	-146.982
0.25	100.285
0.25	112.381
0.25	17.2872
0.25	25.9221
0.25	-48.5279
0.25	-55.8277
0.25	-133.472
0.25	-167.839
0.25	-122.043
0.25	35.1105
0.25	-157.624
0.25	113.132
0.25	-99.7257
0.25	-50.9911
0.25	-33.1728
0.25	-73.0237
0.25	-150.566
0.25	1.01208
0.25	148.453
0.25	-72.765
0.25	74.0438
0.25	162.181
0.25	-28.3551
0.25	40.0468
0.25	-55.2086
0.25	118.042
0.25	-139.603
0.25	134.281
0.25	151.423
0.25	4.55453
0.25	68.4063
0.25	-71.6373
0.25	-109.387
0.25	-23.1514
0.25	94.6219
0.25	80.1689
0.25	90.7456
0.25	176.805
0.25	-37.534
0.25	158.944
0.25	10.4652
0.25	46.9797
0.25	81.0755
0.25	-6.23964
0.25	-12.1402
0.25	-121.543
0.25	152.981
0.25	-58.8709
0.25	105.534
0.25	-94.0372
0.25	-49.4196
0.25	95.379
0.25	-94.0193
0.25	-52.693
0.25	-22.4041
0.25	-64.2115
0.25	125.344
0.25	-70.484
0.25	-106.523
0.25	-101.266
0.25	-160.686
0.25	96.1372
0.25	-115.693
0.25	39.7556
0.25	170.334
0.25	41.6431
0.25	-165.818
0.25	89.6328
0.25	-2.10273
0.25	-135.744
0.25	-142.634
0.25	-167.646
0.25	-28.4503
0.25	35.3898
0.25	-164.867
0.25	-120.998
0.25	-60.0744
0.25	135.721
0.25	-99.0097
0.25	-24.4564
0.25	-121.578
0.25	104.124
0.25	-53.6068
0.25	-47.0322
0.25	114.856
0.25	78.8224
0.25	-62.5637
0.25	16.516
0.25	-91.0005
0.25	-73.1093
0.25	133.424
0.25	-179.616
0.25	54.974
0.25	-150.545
0.25	11.9679
0.25	175.976
0.25	105.841
0.25	68.2071
0.25	33.2687
0.25	3.76244
0.25	65.3713
0.25	-128.586
0.25	-176.208
0.25	-135.781
0.25	-110.777
0.25	92.0661
0.25	-172.576
0.25	-131.903
0.25	170.81
0.25	149.377
0.25	122.62
0.25	39.1889
0.25	-31.5393
0.25	29.9381
0.25	-124.609
0.25	146.903
0.25	-25.0422
0.25	69.9136
0.25	-80.8522
0.25	-79.1014
0.25	46.548
0.25	146.15
0.25	70.4242
0.25	-32.5896
0.25	112.971
0.25	87.997
0.25	-5.18125
0.25	121.838
0.25	76.699
0.25	121.779
0.25	65.5166
0.25	151.284
0.25	131.879
0.25	-116.639
0.25	-122.556
0.25	-110.725
0.25	-99.32
0.25	-22.3758
0.25	95.6974
0.25	-14.154
0.25	87.6352
0.25	68.763
0.25	25.9626
0.25	77.8577
0.25	164.772
0.25	-96.3484
0.25	-32.1788
0.25	109.236
0.25	52.9974
0.25	58.9533
0.25	94.8288
0.25	-168.912
0.25	-132.226
0.25	167.703
0.25	-12.4803
0.25	-74.3176
0.25	21.1106
0.25	-157.227
0.25	144.263
0.25	-135.318
0.25	-120.232
0.25	-44.006
0.25	-142.548
0.25	70.8874
0.25	124.784
0.25	142.403
0.25	99.5605
0.25	151.508
0.25	119.143
0.25	-129.116
0.25	-122.311
0.25	-50.798
0.25	39.5272
0.25	-42.8037
0.25	170.843
0.25	166.638
0.25	-80.6587
0.25	-146.214
0.25	-73.2178
0.25	-53.3709
0.25	-100.123
0.25	83.5454
0.25	78.173
0.25	-1.0937
0.25	-90.4579
0.25	133.893
0.25	-155.46
0.25	-2.46397
0.25	-56.8296
0.25	-0.267111
0.25	-92.2422
0.25	-43.9467
0.25	-117.112
0.25	-171.103
0.25	90.0039
0.25	-110.002
0.25	-3.90958
0.25	156.7
0.25	59.9652
0.25	-142.793
0.25	-90.7132
0.25	-84.5529
0.25	85.3239
0.25	40.0673
0.25	119.947
0.25	-103.286
0.25	50.5719
0.25	56.4551
0.25	-107.744
0.25	94.9763
0.25	176.907
0.25	140.182
0.25	76.2009
0.25	47.0514
0.25	84.888
0.25	61.7443
0.25	94.6297
0.25	-72.3321
0.25	-26.3454
0.25	-150.961
0.25	-92.5011
0.25	8.17321
0.25	93.8603
0.25	-47.1708
0.25	-154.331
0.25	24.6115
0.25	-43.5148
0.25	-131.029
0.25	71.9863
0.25	119.855
0.25	105.398
0.25	134.826
0.25	165.795
0.25	78.9728
0.25	24.4721
0.25	-164.467
0.25	128.386
0.25	23.429
0.25	-15.7897
0.25	-68.4502
